# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
0045F8,DynamicWaterNull,
0045FA,DynamicWaterCPZ2,
00460A,WindTunnel,
004690,WindTunnel_Leave,
0046A2,WindTunnel_LeaveHurt,
0046A6,WindTunnel_End,
0046B8,WindTunnelsCoordinates_End,OilSlides
00481E,OilSlides_Chunks_End,MoveSonicInDemo
00486A,MoveDemo_Record_P2,
0048AA,MoveDemo_On,
0048DA,MoveDemo_On_P1,
004908,MoveDemo_On_P2,
004940,MoveDemo_On_SkipP2,
0049BC,LoadCollisionIndexes,
004A70,OscillateNumInit,
004A7C,Osc_Loop,
004AC6,Osc_Data_End,OscillateNumDo
004B22,OscillateNumDo_Return,
004B64,Osc_Data2_End,ChangeRingFrame
004BD2,SetLevelEndType,
004C40,LevelEnd_SetSignpost,
004C48,CheckLoadSignpostArt,
004C80,SignpostUpdateTailsBounds,
004E98,LoadZoneTiles,
004F64,SpecialStage,
00541A,SpecialStage_Unpause,
00543A,PalCycle_SS,
0054DC,SSCheckpoint_rainbow,
005514,SSLoadCurrentPerspective,
005534,SSObjectsManager,
0055DC,return_55DC,
005604,SSTrack_Draw,
0056D2,SSTrack_BeginDraw,
005722,SSTrackDrawLineLoop,
00572E,SSTrackDrawLoop_Inner,
005788,SSTrackDrawRLE,
0057DE,SSTrackDrawUnc_Read10_Got0,
005806,SSTrackDrawUnc_Read10_Got1,
005836,SSTrackDrawUnc_Read10_Got2,
005856,SSTrackDrawUnc_Read10_Got3,
005880,SSTrackDrawUnc_Read10_Got4,
0058AA,SSTrackDrawUnc_Read10_Got5,
0058D4,SSTrackDrawUnc_Read10_Got6,
0058FE,SSTrackDrawUnc_Read10_Got7,
005928,SSTrackDrawUnc_Read6_Got0,
005944,SSTrackDrawUnc_Read6_Got1,
00596A,SSTrackDrawUnc_Read6_Got2,
005990,SSTrackDrawUnc_Read6_Got3,
0059B6,SSTrackDrawUnc_Read6_Got4,
0059DC,SSTrackDrawUnc_Read6_Got5,
005A02,SSTrackDrawUnc_Read6_Got6,
005A1A,SSTrackDrawUnc_Read6_Got7,
005A34,SSTrackDrawRLE_Read7_Got0,
005A66,SSTrackDrawRLE_Read7_Got1,
005AA2,SSTrackDrawRLE_Read7_Got2,
005ADE,SSTrackDrawRLE_Read7_Got3,
005B1A,SSTrackDrawRLE_Read7_Got4,
005B56,SSTrackDrawRLE_Read7_Got5,
005B92,SSTrackDrawRLE_Read7_Got6,
005BCE,SSTrackDrawRLE_Read7_Got7,
005BFC,SSTrackDrawRLE_Read6_Got0,
005C22,SSTrackDrawRLE_Read6_Got1,
005C52,SSTrackDrawRLE_Read6_Got2,
005C82,SSTrackDrawRLE_Read6_Got3,
005CB2,SSTrackDrawRLE_Read6_Got4,
005CE2,SSTrackDrawRLE_Read6_Got5,
005D12,SSTrackDrawRLE_Read6_Got6,
005D34,SSTrackDrawRLE_Read6_Got7,
005D58,SSTrackDraw_return,
005D8A,SSTrackDrawLineFlipLoop,
005DA8,SSTrackDrawFlipLoop_Inner,
005E06,SSTrackDrawFlipRLE,
005E60,SSTrackDrawFlipUnc_Read10_Got0,
005E8A,SSTrackDrawFlipUnc_Read10_Got1,
005EBA,SSTrackDrawFlipUnc_Read10_Got2,
005EDA,SSTrackDrawFlipUnc_Read10_Got3,
005F04,SSTrackDrawFlipUnc_Read10_Got4,
